Experiment,Well,EtOH,AA,BA,HA,mu
1,B2,343,0,0,0,0
1,C2,343,0,0,0,0
1,D2,343,0,0,0,0
1,E2,343,117.8493722,0,0,0.227926404
1,F2,343,117.8493722,0,0,0.235904115
1,G2,343,117.8493722,0,0,0.220585641
1,B3,343,9.558612157,0.255217796,0.366593836,0.161520536
1,C3,343,9.558612157,0.255217796,0.366593836,0.161785389
1,D3,343,9.558612157,0.255217796,0.366593836,0.158235966
1,E3,343,178.7310075,0,0,0.222627901
1,F3,343,178.7310075,0,0,0.226385831
1,G3,343,178.7310075,0,0,0.225383057
1,B4,343,21.66882698,0.561690841,0.247835227,0.206579243
1,C4,343,21.66882698,0.561690841,0.247835227,0.20210719
1,D4,343,21.66882698,0.561690841,0.247835227,0.212882638
1,E4,343,192.1383514,0,0,0.190804387
1,F4,343,192.1383514,0,0,0.218133344
1,G4,343,192.1383514,0,0,0.192443765
1,B5,343,31.00182048,0.551822495,0,0.229808681
1,C5,343,31.00182048,0.551822495,0,0.224348926
1,D5,343,31.00182048,0.551822495,0,0.240174473
1,E5,343,203.4652323,0,0,0.233136947
1,F5,343,203.4652323,0,0,0.233368005
1,G5,343,203.4652323,0,0,0.227791364
1,B6,343,43.00810525,0.692541596,0,0.216982877
1,C6,343,43.00810525,0.692541596,0,0.213230983
1,D6,343,43.00810525,0.692541596,0,0.211032111
1,E6,343,205.4606595,0,0,0.253416158
1,F6,343,205.4606595,0,0,0.257569593
1,G6,343,205.4606595,0,0,0.24370319
1,B7,343,40.09508809,0.476915674,0,0.252960916
1,C7,343,40.09508809,0.476915674,0,0.258794656
1,D7,343,40.09508809,0.476915674,0,0.282589016
1,E7,343,219.009209,0,0,0.259032525
1,F7,343,219.009209,0,0,0.258577593
1,G7,343,219.009209,0,0,0.254263993
1,B8,343,57.16645379,0.663205652,0,0.243219905
1,C8,343,57.16645379,0.663205652,0,0.239531945
1,D8,343,57.16645379,0.663205652,0,0.243870605
1,E8,343,219.0353913,0,0,0.275113578
1,F8,343,219.0353913,0,0,0.275961639
1,G8,343,219.0353913,0,0,0.250349613
1,B9,343,65.13889759,0,0,0.234066682
1,C9,343,65.13889759,0,0,0.215952393
1,D9,343,65.13889759,0,0,0.24265376
1,E9,343,243.3984679,0,0,0.257702193
1,F9,343,243.3984679,0,0,0.25156846
1,G9,343,243.3984679,0,0,0.235223336
1,B10,343,84.32689425,0,0,0.258744598
1,C10,343,84.32689425,0,0,0.255536378
1,D10,343,84.32689425,0,0,0.248332113
1,E10,343,256.590254,0,0,0.249525102
1,F10,343,256.590254,0,0,0.229616845
1,G10,343,256.590254,0,0,0.222813829
2,E2,343,617.2458285,0,0,0
2,F2,343,617.2458285,0,0,0
2,G2,343,617.2458285,0,0,0
2,B3,343,34.15338052,2.602915674,2.739725379,0.181319947
2,C3,343,34.15338052,2.602915674,2.739725379,0.192065998
2,D3,343,34.15338052,2.602915674,2.739725379,0.190869703
2,E3,343,686.0427394,0,0,0
2,F3,343,686.0427394,0,0,0
2,G3,343,686.0427394,0,0,0
2,B4,343,87.47852623,3.214766769,3.157062672,0.22271386
2,C4,343,87.47852623,3.214766769,3.157062672,0.233257466
2,D4,343,87.47852623,3.214766769,3.157062672,0.231707476
2,E4,343,749.8716536,0,0,0
2,F4,343,749.8716536,0,0,0
2,G4,343,749.8716536,0,0,0
2,B5,343,138.7690891,2.941550335,2.904018595,0.2372582
2,C5,343,138.7690891,2.941550335,2.904018595,0.260842647
2,D5,343,138.7690891,2.941550335,2.904018595,0.253438403
2,E5,343,665.1846794,0,0,0
2,F5,343,665.1846794,0,0,0
2,G5,343,665.1846794,0,0,0
2,B6,343,128.2983381,0,2.235457989,0.249428884
2,C6,343,128.2983381,0,2.235457989,0.267892633
2,D6,343,128.2983381,0,2.235457989,0.257494942
2,B7,343,231.2866411,0,2.692193526,0.257884565
2,C7,343,231.2866411,0,2.692193526,0.263290355
2,D7,343,231.2866411,0,2.692193526,0.260773833
2,E7,0,14.19560033,1.359563046,1.681974001,0.185408368
2,F7,0,14.19560033,1.359563046,1.681974001,0.186615812
2,G7,0,14.19560033,1.359563046,1.681974001,0.167440514
2,B8,343,251.2375087,0,0,0.200015891
2,C8,343,251.2375087,0,0,0.193475263
2,D8,343,251.2375087,0,0,0.201806631
2,E8,0,22.39307744,0,1.289498106,0.203646754
2,F8,0,22.39307744,0,1.289498106,0.198393606
2,G8,0,22.39307744,0,1.289498106,0.171199775
2,B9,343,362.2079734,0,2.590406336,0
2,C9,343,362.2079734,0,2.590406336,0
2,D9,343,362.2079734,0,2.590406336,0
2,E9,0,83.04602165,2.722140506,3.07793905,0.197912864
2,F9,0,83.04602165,2.722140506,3.07793905,0.180842722
2,G9,0,83.04602165,2.722140506,3.07793905,0.160933519
2,B10,343,415.6083597,0,4.006676997,0
2,C10,343,415.6083597,0,4.006676997,0
2,D10,343,415.6083597,0,4.006676997,0
2,B11,343,442.9082848,0,0,0
2,C11,343,442.9082848,0,0,0
2,D11,343,442.9082848,0,0,0
5,B2,343,6.310613489,0.409674044,0.765148416,0.194168738
5,C2,343,6.310613489,0.409674044,0.765148416,0.194896766
5,D2,343,6.310613489,0.409674044,0.765148416,0.177302503
6,E2,343,1.614592839,0,0.226238981,0
6,F2,343,1.614592839,0,0.226238981,0
6,G2,343,1.614592839,0,0.226238981,0
5,B3,343,2.276731724,6.230457383,0.128857094,0.146287455
5,C3,343,2.276731724,6.230457383,0.128857094,0.155505291
5,D3,343,2.276731724,6.230457383,0.128857094,0.154901012
6,E3,343,1.784730724,16.3711985,0.353288912,0.106018755
6,F3,343,1.784730724,16.3711985,0.353288912,0.131538031
6,G3,343,1.784730724,16.3711985,0.353288912,0.126292785
5,B4,343,6.304617818,29.62572409,0.381436811,0.144755636
5,C4,343,6.304617818,29.62572409,0.381436811,0.154116413
5,D4,343,6.304617818,29.62572409,0.381436811,0.152148973
6,G4,343,1.699661782,35.18373737,0.439415892,0.087492576
6,B5,343,5.622616153,42.18795994,0.352921402,0.144616475
6,C5,343,5.622616153,42.18795994,0.352921402,0.140972701
5,D5,343,5.622616153,42.18795994,0.352921402,0.133256007
5,F5,343,1.699661782,56.91055726,0.387467717,0.067625002
5,G5,343,1.699661782,56.91055726,0.387467717,0.093661884
6,B6,343,6.561815154,66.02403132,0.459731405,0.140950301
6,C6,343,6.561815154,66.02403132,0.459731405,0.137652594
6,D6,343,6.561815154,66.02403132,0.459731405,0.137727328
5,E6,343,1.699661782,48.26914198,0,0.098848903
5,F6,343,1.699661782,48.26914198,0,0.102619967
5,G6,343,1.699661782,48.26914198,0,0.092924885
6,B7,343,6.096767694,79.68987062,0,0.143640014
6,C7,343,6.096767694,79.68987062,0,0.140106074
6,D7,343,6.096767694,79.68987062,0,0.138252586
5,E7,343,1.699661782,84.51392123,0.52077135,0.079958369
5,F7,343,1.699661782,84.51392123,0.52077135,0.093490871
5,G7,343,1.699661782,84.51392123,0.52077135,0.100547646
6,B8,343,6.179286062,87.27143071,0,0.103531722
6,C8,343,6.179286062,87.27143071,0,0.10103637
6,D8,343,6.179286062,87.27143071,0,0.102508069
5,E8,343,1.699661782,79.73707774,0,0.07756393
5,F8,343,1.699661782,79.73707774,0,0.076590264
5,G8,343,1.699661782,79.73707774,0,0.081549013
6,B9,343,6.805605995,116.1126755,0,0.092623922
6,C9,343,6.805605995,116.1126755,0,0.095580087
6,D9,343,6.805605995,116.1126755,0,0.090942978
5,E9,343,1.699661782,122.2999632,0,0.066343704
5,F9,343,1.699661782,122.2999632,0,0.075526462
5,G9,343,1.699661782,122.2999632,0,0.081903073
6,B10,343,6.804995837,127.8908873,0,0
6,C10,343,6.804995837,127.8908873,0,0
6,D10,343,6.804995837,127.8908873,0,0
5,E10,343,1.699661782,159.815852,0,0
5,F10,343,1.699661782,159.815852,0,0
5,G10,343,1.699661782,159.815852,0,0
5,B11,343,0,0,0,0
5,C11,343,0,0,0,0
5,D11,343,0,0,0,0
6,E11,343,0,0,0,0
6,F11,343,0,0,0,0
6,G11,343,0,0,0,0
7,B2,343,74.30111574,2.804240154,4.839260503,0.170423313
7,C2,343,74.30111574,2.804240154,4.839260503,0.17435884
7,D2,343,74.30111574,2.804240154,4.839260503,0.178024722
7,E2,343,73.89790508,0,113.1989291,0
7,F2,343,73.89790508,0,113.1989291,0
7,G2,343,73.89790508,0,113.1989291,0
7,B3,343,75.99378351,2.309640222,17.046349,0.147171306
7,C3,343,75.99378351,2.309640222,17.046349,0.150423923
7,D3,343,75.99378351,2.309640222,17.046349,0.163904655
7,E3,343,88.58284097,0,128.0542407,0
7,F3,343,88.58284097,0,128.0542407,0
7,G3,343,88.58284097,0,128.0542407,0
7,B4,343,74.72076103,2.413337873,26.81931043,0.132124001
7,C4,343,74.72076103,2.413337873,26.81931043,0.134791105
7,D4,343,74.72076103,2.413337873,26.81931043,0.14270727
7,E4,343,85.15051457,0,139.8072899,0
7,F4,343,85.15051457,0,139.8072899,0
7,G4,343,85.15051457,0,139.8072899,0
7,B5,343,74.66848793,2.449536942,38.80644025,0.128540027
7,C5,343,74.66848793,2.449536942,38.80644025,0.130948622
7,D5,343,74.66848793,2.449536942,38.80644025,0.122212454
7,E5,343,90.43645296,0,150.7701808,0
7,F5,343,90.43645296,0,150.7701808,0
7,G5,343,90.43645296,0,150.7701808,0
7,B6,343,82.38866445,2.314801952,51.690625,0.112522616
7,C6,343,82.38866445,2.314801952,51.690625,0.107723267
7,D6,343,82.38866445,2.314801952,51.690625,0.108289785
7,E6,343,76.16417985,0,144.780798,0
7,F6,343,76.16417985,0,144.780798,0
7,G6,343,76.16417985,0,144.780798,0
7,B7,343,74.72505412,1.86959142,61.2138886,0.069204615
7,C7,343,74.72505412,1.86959142,61.2138886,0.072992551
7,D7,343,74.72505412,1.86959142,61.2138886,0.105347082
7,E7,343,80.79196503,0,159.6760998,0
7,F7,343,80.79196503,0,159.6760998,0
7,G7,343,80.79196503,0,159.6760998,0
7,B8,343,83.09456453,2.129715129,75.12491649,0.052193095
7,C8,343,83.09456453,2.129715129,75.12491649,0.049469888
7,D8,343,83.09456453,2.129715129,75.12491649,0.062931844
7,E8,343,87.78193172,0,184.0296315,0
7,F8,343,87.78193172,0,184.0296315,0
7,G8,343,87.78193172,0,184.0296315,0
7,B9,343,83.97526228,1.600768358,94.51954976,0
7,C9,343,83.97526228,1.600768358,94.51954976,0
7,D9,343,83.97526228,1.600768358,94.51954976,0
7,B10,343,82.69610658,2.177601861,88.5432197,0.001786464
7,C10,343,82.69610658,2.177601861,88.5432197,0.002331998
7,D10,343,82.69610658,2.177601861,88.5432197,0
7,B11,343,86.70845296,0,105.2232903,0
7,C11,343,86.70845296,0,105.2232903,0
7,D11,343,86.70845296,0,105.2232903,0
